fund,year,value,source,target,targetType
39,2016,24206,UN,NNGO,2
39,2016,23500,UN,O,2
39,2017,808960,UN,OG,2
39,2017,303156,UN,INGO,2
39,2017,472129,UN,NNGO,2
39,2017,230535,UN,O,2
39,2018,130743,UN,OG,2
39,2019,113898,UN,OG,2
39,2019,9538,UN,INGO,2
39,2019,513706,UN,NNGO,2
40,2015,93088,UN,OG,2
40,2015,2954265,UN,INGO,2
40,2015,496807,UN,NNGO,2
40,2015,30094,UN,O,2
40,2016,581810,UN,INGO,2
40,2019,977720,UN,OG,2
40,2019,487644,UN,INGO,2
40,2019,470770,UN,NNGO,2
40,2019,246178,UN,O,2
41,2016,71695,UN,OG,2
41,2016,4396484,UN,INGO,2
41,2016,1434860,UN,NNGO,2
41,2016,379783,UN,O,2
41,2017,36517,UN,OG,2
41,2017,1067763,UN,INGO,2
41,2017,779316,UN,NNGO,2
41,2017,49999,UN,O,2
41,2018,190539,UN,OG,2
41,2018,2766675,UN,INGO,2
41,2018,575883,UN,NNGO,2
42,2015,542213,UN,OG,2
42,2015,687265,UN,INGO,2
42,2015,245584,UN,NNGO,2
42,2018,307050,UN,OG,2
42,2018,207197,UN,INGO,2
42,2018,187035,UN,NNGO,2
43,2016,271592,UN,OG,2
43,2016,464480,UN,INGO,2
43,2017,22223,UN,OG,2
43,2017,37107,UN,INGO,2
44,2015,326441,UN,OG,2
44,2015,718458,UN,INGO,2
44,2015,28977,UN,NNGO,2
44,2016,211323,UN,OG,2
44,2016,298629,UN,INGO,2
44,2016,143678,UN,NNGO,2
44,2017,227216,UN,OG,2
44,2017,531490,UN,INGO,2
44,2019,801896,UN,OG,2
44,2019,1828948,UN,INGO,2
44,2019,111408,UN,NNGO,2
44,2019,156662,UN,NNGO,2
45,2015,910304,UN,OG,2
45,2015,3322124,UN,INGO,2
45,2015,2083095,UN,NNGO,2
45,2016,95216,UN,OG,2
45,2016,285232,UN,INGO,2
45,2016,409298,UN,NNGO,2
45,2017,165443,UN,OG,2
45,2017,280771,UN,INGO,2
45,2017,157882,UN,NNGO,2
45,2018,372156,UN,OG,2
45,2018,984625,UN,INGO,2
45,2018,737265,UN,NNGO,2
45,2019,103492,UN,OG,2
45,2019,215267,UN,INGO,2
45,2019,150605,UN,NNGO,2
46,2015,30454,UN,OG,2
46,2015,870011,UN,INGO,2
46,2015,3730954,UN,NNGO,2
46,2015,886085,UN,O,2
46,2016,658153,UN,NNGO,2
46,2017,248663,UN,OG,2
46,2017,258351,UN,INGO,2
46,2017,1311094,UN,NNGO,2
46,2017,109637,UN,O,2
47,2015,295962,UN,OG,2
47,2015,3114052,UN,INGO,2
47,2015,737524,UN,NNGO,2
47,2015,267950,UN,O,2
47,2016,92579,UN,OG,2
47,2016,1311682,UN,INGO,2
47,2016,426394,UN,NNGO,2
47,2016,50756,UN,O,2
47,2017,302770,UN,OG,2
47,2017,2492821,UN,INGO,2
47,2017,446260,UN,NNGO,2
47,2017,49315,UN,O,2
47,2018,425910,UN,OG,2
47,2018,989624,UN,INGO,2
47,2018,790392,UN,NNGO,2
47,2019,19016,UN,NNGO,2
47,2019,456090,UN,OG,2
47,2019,1738988,UN,INGO,2
47,2019,1246625,UN,NNGO,2
48,2015,636362,UN,OG,2
48,2015,1587343,UN,INGO,2
48,2015,43730,UN,NNGO,2
48,2015,237496,UN,O,2
48,2016,3183757,UN,OG,2
48,2016,1865017,UN,INGO,2
48,2016,446368,UN,NNGO,2
48,2016,42560,UN,O,2
48,2017,4220354,UN,OG,2
48,2017,2306577,UN,INGO,2
48,2017,538875,UN,NNGO,2
48,2017,105466,UN,O,2
48,2018,800777,UN,OG,2
48,2018,326516,UN,NNGO,2
48,2018,542127,UN,O,2
49,2015,206776,UN,OG,2
49,2015,2702727,UN,NNGO,2
49,2015,13660,UN,O,2
49,2018,499833,UN,OG,2
49,2018,66905,UN,NNGO,2
50,2016,417382,UN,OG,2
50,2016,604774,UN,INGO,2
50,2018,146593,UN,OG,2
50,2018,52151,UN,INGO,2
50,2018,872817,UN,NNGO,2
51,2015,88818,UN,OG,2
51,2015,269500,UN,NNGO,2
51,2017,14859,UN,OG,2
51,2017,2503193,UN,INGO,2
51,2017,314948,UN,NNGO,2
51,2018,1090303,UN,INGO,2
51,2018,85773,UN,NNGO,2
52,2015,110000,UN,INGO,2
52,2015,54191,UN,NNGO,2
52,2017,11233,UN,OG,2
52,2017,484816,UN,INGO,2
52,2017,734125,UN,NNGO,2
52,2018,630692,UN,INGO,2
52,2018,1381057,UN,NNGO,2
53,2016,326153,UN,INGO,2
53,2016,522299,UN,NNGO,2
53,2017,85313,UN,OG,2
53,2017,657244,UN,NNGO,2
53,2018,240029,UN,OG,2
53,2018,353706,UN,INGO,2
53,2018,174197,UN,NNGO,2
53,2019,56494,UN,OG,2
53,2019,213697,UN,INGO,2
53,2019,368518,UN,NNGO,2
54,2015,3062322,UN,OG,2
54,2015,1469724,UN,INGO,2
54,2015,1936779,UN,NNGO,2
54,2015,274047,UN,O,2
54,2016,2559202,UN,OG,2
54,2016,1341824,UN,INGO,2
54,2016,1643945,UN,NNGO,2
54,2016,2859868,UN,O,2
54,2017,2513533,UN,OG,2
54,2017,1608087,UN,INGO,2
54,2017,701836,UN,NNGO,2
54,2017,357567,UN,O,2
54,2018,1910493,UN,OG,2
54,2018,1517927,UN,INGO,2
54,2018,458153,UN,NNGO,2
54,2018,219908,UN,O,2
55,2015,556706,UN,OG,2
55,2015,2769246,UN,INGO,2
55,2015,679831,UN,NNGO,2
55,2016,680500,UN,OG,2
55,2016,2190458,UN,INGO,2
55,2016,28255,UN,NNGO,2
55,2016,49652,UN,O,2
55,2018,244482,UN,OG,2
55,2018,416467,UN,INGO,2
55,2019,162537,UN,OG,2
55,2019,51727,UN,NNGO,2
56,2015,392671,UN,OG,2
56,2015,3301517,UN,INGO,2
56,2015,4936584,UN,NNGO,2
56,2015,7939,UN,O,2
56,2016,1291426,UN,OG,2
56,2016,157252,UN,INGO,2
56,2016,637437,UN,NNGO,2
56,2016,3727,UN,O,2
56,2017,1599074,UN,OG,2
56,2017,3177368,UN,INGO,2
56,2017,4884007,UN,NNGO,2
56,2017,127974,UN,O,2
56,2018,897781,UN,OG,2
56,2018,959897,UN,INGO,2
56,2018,1541119,UN,NNGO,2
56,2018,412412,UN,O,2
56,2019,1264403,UN,OG,2
56,2019,796719,UN,INGO,2
56,2019,1166977,UN,NNGO,2
56,2019,610438,UN,O,2
57,2015,36803,UN,OG,2
